timestamp=17853468378003, VA=0000800100003000-0000800100013000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE, object_handle=0x611dcbe31490
timestamp=17853468418139, VA=0000800100027000-0000800100027380, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE, object_handle=0x611dcbe31490
timestamp=17853468742580, VA=0000800100200000-0000800102200000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x611dcbbe9910
timestamp=17853468768830, VA=0000800100200000-0000800100280010, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcbc3dba0
timestamp=17853468852397, VA=0000800102200000-0000800104200000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x611dcbbe9a30
timestamp=17853468853649, VA=0000800102200000-0000800102208000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcbbfd3a0
timestamp=17853470083797, VA=0000800100040000-0000800100041000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x611dcbe2eb10
timestamp=17853470101670, VA=0000800100040000-0000800100041000, binding_type=unbind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x611dcbe2eb10
timestamp=17853470156794, VA=0000800104200000-00008001054e0000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x611dcbe2eb10
timestamp=17853470164078, VA=0000800104200000-00008001054e0000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x611dcbe2b4d0
timestamp=17853470189836, VA=0000800105600000-00008001068e0000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x611dcbe2dab0
timestamp=17853470193553, VA=0000800105600000-00008001068e0000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x611dcbe2bad0
timestamp=17853470212269, VA=0000800106a00000-0000800107ce0000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x611dcbe2db40
timestamp=17853470216346, VA=0000800106a00000-0000800107ce0000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x611dcbe2c0d0
timestamp=17853471119247, VA=0000800107e00000-00008001090e0000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x611dcbe2ac80
timestamp=17853471125709, VA=0000800107e00000-00008001090e0000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x611dcbe2ad80
timestamp=17853471440953, VA=0000800109200000-000080010a4e0000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x611dcbd2ba60
timestamp=17853471447265, VA=0000800109200000-000080010a4e0000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x611dcbd2b400
timestamp=17853471584273, VA=000080010a600000-000080010b8e0000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x611dcbd2c230
timestamp=17853471589172, VA=000080010a600000-000080010b8e0000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x611dcbd2bbd0
timestamp=17853471757649, VA=000080010ba00000-000080010cce0000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x611dcbd2cae0
timestamp=17853471762288, VA=000080010ba00000-000080010cce0000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x611dcbd2c480
