timestamp=17853468310346, VA=0000800100000000-0000800100001000, destroyed=0, is_virtual=0
timestamp=17853468336575, VA=0000800100001000-0000800100002000, destroyed=0, is_virtual=0
timestamp=17853468348157, VA=0000800100002000-0000800100002138, destroyed=0, is_virtual=0
timestamp=17853468376681, VA=0000800100003000-0000800100013000, destroyed=0, is_virtual=0
timestamp=17853468392330, VA=0000800100013000-0000800100027000, destroyed=0, is_virtual=0
timestamp=17853468417047, VA=0000800100027000-0000800100027380, destroyed=0, is_virtual=0
timestamp=17853468456632, VA=0000800100013000-0000800100027000, destroyed=1, is_virtual=0
timestamp=17853468740446, VA=0000800100200000-0000800102200000, destroyed=0, is_virtual=0
timestamp=17853468850994, VA=0000800102200000-0000800104200000, destroyed=0, is_virtual=0
timestamp=17853470080941, VA=0000800100040000-0000800100041000, destroyed=0, is_virtual=0
timestamp=17853470101750, VA=0000800100040000-0000800100041000, destroyed=1, is_virtual=0
timestamp=17853470155402, VA=0000800104200000-00008001054e0000, destroyed=0, is_virtual=0
timestamp=17853470188674, VA=0000800105600000-00008001068e0000, destroyed=0, is_virtual=0
timestamp=17853470211167, VA=0000800106a00000-0000800107ce0000, destroyed=0, is_virtual=0
timestamp=17853471116201, VA=0000800107e00000-00008001090e0000, destroyed=0, is_virtual=0
timestamp=17853471437496, VA=0000800109200000-000080010a4e0000, destroyed=0, is_virtual=0
timestamp=17853471582279, VA=000080010a600000-000080010b8e0000, destroyed=0, is_virtual=0
timestamp=17853471755736, VA=000080010ba00000-000080010cce0000, destroyed=0, is_virtual=0
timestamp=17853472444904, VA=0000800100013000-0000800100013020, destroyed=0, is_virtual=0
timestamp=17853472465052, VA=0000800100014000-0000800100014020, destroyed=0, is_virtual=0
timestamp=17853472478227, VA=0000800100015000-0000800100015010, destroyed=0, is_virtual=0
timestamp=17853472493866, VA=0000800100016000-0000800100016010, destroyed=0, is_virtual=0
timestamp=17853488329875, VA=000080010ce00000-000080011ce00000, destroyed=0, is_virtual=0
timestamp=17853488470941, VA=0000800000000000-000080000003c280, destroyed=0, is_virtual=0
timestamp=17853488505275, VA=0000800100028000-000080010003c000, destroyed=0, is_virtual=0
timestamp=17853488522127, VA=000080010003c000-0000800100050000, destroyed=0, is_virtual=0
timestamp=17853488539530, VA=0000800100050000-0000800100064000, destroyed=0, is_virtual=0
timestamp=17853488563585, VA=0000800100064000-0000800100078000, destroyed=0, is_virtual=0
timestamp=17853488580838, VA=0000800100078000-000080010008c000, destroyed=0, is_virtual=0
timestamp=17853488594924, VA=000080010008c000-00008001000a0000, destroyed=0, is_virtual=0
timestamp=17853488609021, VA=00008001000a0000-00008001000b4000, destroyed=0, is_virtual=0
timestamp=17853488623969, VA=00008001000b4000-00008001000c8000, destroyed=0, is_virtual=0
timestamp=17853488638236, VA=00008001000c8000-00008001000dc000, destroyed=0, is_virtual=0
timestamp=17853488653364, VA=00008001000dc000-00008001000f0000, destroyed=0, is_virtual=0
timestamp=17853488671619, VA=00008001000f0000-0000800100104000, destroyed=0, is_virtual=0
timestamp=17853488689282, VA=0000800100104000-0000800100118000, destroyed=0, is_virtual=0
timestamp=17853488799249, VA=000080011ce00000-000080011ee00000, destroyed=0, is_virtual=0
timestamp=17853489204783, VA=0000800100118000-000080010012c000, destroyed=0, is_virtual=0
timestamp=17853489227686, VA=000080010012c000-0000800100140000, destroyed=0, is_virtual=0
timestamp=17853489243606, VA=0000800100140000-0000800100154000, destroyed=0, is_virtual=0
timestamp=17853489259296, VA=0000800100154000-0000800100168000, destroyed=0, is_virtual=0
timestamp=17853489276849, VA=0000800100168000-000080010017c000, destroyed=0, is_virtual=0
timestamp=17853489296516, VA=000080010017c000-0000800100190000, destroyed=0, is_virtual=0
timestamp=17853489317866, VA=0000800100190000-00008001001a4000, destroyed=0, is_virtual=0
timestamp=17853489333706, VA=00008001001a4000-00008001001b8000, destroyed=0, is_virtual=0
timestamp=17853489349796, VA=00008001001b8000-00008001001cc000, destroyed=0, is_virtual=0
timestamp=17853489369443, VA=00008001001cc000-00008001001e0000, destroyed=0, is_virtual=0
timestamp=17853489385924, VA=00008001001e0000-00008001001f4000, destroyed=0, is_virtual=0
timestamp=17853489403126, VA=00008001054e0000-00008001054f4000, destroyed=0, is_virtual=0
timestamp=17853489932454, VA=000080000003d000-0000800000041000, destroyed=0, is_virtual=0
timestamp=17853490249090, VA=0000800100017000-0000800100017020, destroyed=0, is_virtual=0
timestamp=17853490267685, VA=0000800100018000-0000800100018020, destroyed=0, is_virtual=0
timestamp=17853506097642, VA=000080011ee00000-000080012ee00000, destroyed=0, is_virtual=0
timestamp=17853506212439, VA=0000800000041000-000080000007d280, destroyed=0, is_virtual=0
timestamp=17853506246944, VA=00008001054f4000-0000800105508000, destroyed=0, is_virtual=0
timestamp=17853506260028, VA=0000800105508000-000080010551c000, destroyed=0, is_virtual=0
timestamp=17853506282621, VA=000080010551c000-0000800105530000, destroyed=0, is_virtual=0
timestamp=17853506298120, VA=0000800105530000-0000800105544000, destroyed=0, is_virtual=0
timestamp=17853506317476, VA=0000800105544000-0000800105558000, destroyed=0, is_virtual=0
timestamp=17853506330260, VA=0000800105558000-000080010556c000, destroyed=0, is_virtual=0
timestamp=17853506346982, VA=000080010556c000-0000800105580000, destroyed=0, is_virtual=0
timestamp=17853506362962, VA=0000800105580000-0000800105594000, destroyed=0, is_virtual=0
timestamp=17853506378491, VA=0000800105594000-00008001055a8000, destroyed=0, is_virtual=0
timestamp=17853506394602, VA=00008001055a8000-00008001055bc000, destroyed=0, is_virtual=0
timestamp=17853506414018, VA=00008001055bc000-00008001055d0000, destroyed=0, is_virtual=0
timestamp=17853506431070, VA=00008001055d0000-00008001055e4000, destroyed=0, is_virtual=0
timestamp=17853506853235, VA=00008001055e4000-00008001055f8000, destroyed=0, is_virtual=0
timestamp=17853506874596, VA=00008001068e0000-00008001068f4000, destroyed=0, is_virtual=0
timestamp=17853506889874, VA=00008001068f4000-0000800106908000, destroyed=0, is_virtual=0
timestamp=17853506903039, VA=0000800106908000-000080010691c000, destroyed=0, is_virtual=0
timestamp=17853506917256, VA=000080010691c000-0000800106930000, destroyed=0, is_virtual=0
timestamp=17853506933647, VA=0000800106930000-0000800106944000, destroyed=0, is_virtual=0
timestamp=17853506950188, VA=0000800106944000-0000800106958000, destroyed=0, is_virtual=0
timestamp=17853506968933, VA=0000800106958000-000080010696c000, destroyed=0, is_virtual=0
timestamp=17853506984473, VA=000080010696c000-0000800106980000, destroyed=0, is_virtual=0
timestamp=17853507006955, VA=0000800106980000-0000800106994000, destroyed=0, is_virtual=0
timestamp=17853507023937, VA=0000800106994000-00008001069a8000, destroyed=0, is_virtual=0
timestamp=17853507039867, VA=00008001069a8000-00008001069bc000, destroyed=0, is_virtual=0
timestamp=17853507506055, VA=000080000007e000-0000800000082000, destroyed=0, is_virtual=0
timestamp=17853507823754, VA=00008001069c0000-00008001069c7000, destroyed=0, is_virtual=0
timestamp=17853507884638, VA=0000800000082000-000080000008a000, destroyed=0, is_virtual=0
timestamp=17853524706584, VA=000080000008a000-00008000000ca000, destroyed=0, is_virtual=0
timestamp=17853524832562, VA=0000800107d00000-0000800107d05000, destroyed=0, is_virtual=0
timestamp=17853524864041, VA=00008000000ca000-00008000000da000, destroyed=0, is_virtual=0
timestamp=17853524895811, VA=0000800107d40000-0000800107d41000, destroyed=0, is_virtual=0
timestamp=17853541870494, VA=000080012ee00000-000080012f200000, destroyed=0, is_virtual=0
timestamp=17853551797443, VA=000080012f200000-000080012f600000, destroyed=0, is_virtual=0
timestamp=17853557342818, VA=000080012f600000-000080012fa00000, destroyed=0, is_virtual=0
