timestamp=18010832536446, VA=0000800100003000-0000800100013000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE, object_handle=0x603103294bd0
timestamp=18010832595708, VA=0000800100027000-0000800100027380, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE, object_handle=0x603103294bd0
timestamp=18010834142792, VA=0000800100040000-0000800100041000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x6031030353e0
timestamp=18010834157600, VA=0000800100040000-0000800100041000, binding_type=unbind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x6031030353e0
timestamp=18010834213485, VA=0000800100200000-00008001014e0000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x6031030353e0
timestamp=18010834220258, VA=0000800100200000-00008001014e0000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x60310308a0b0
timestamp=18010834246497, VA=0000800101600000-00008001028e0000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x603103190260
timestamp=18010834250104, VA=0000800101600000-00008001028e0000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x603103287210
timestamp=18010834272066, VA=0000800102a00000-0000800103ce0000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x603102e29030
timestamp=18010834275963, VA=0000800102a00000-0000800103ce0000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x603103287810
timestamp=18010835249096, VA=0000800103e00000-00008001050e0000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x60310328cb10
timestamp=18010835256390, VA=0000800103e00000-00008001050e0000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x60310328cc80
timestamp=18010835449053, VA=0000800105200000-00008001064e0000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x60310328eb60
timestamp=18010835454733, VA=0000800105200000-00008001064e0000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x603103191ae0
timestamp=18010835578487, VA=0000800106600000-00008001078e0000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x60310328d760
timestamp=18010835583125, VA=0000800106600000-00008001078e0000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x6031031920e0
timestamp=18010835706207, VA=0000800107a00000-0000800108ce0000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x60310328d9d0
timestamp=18010835711377, VA=0000800107a00000-0000800108ce0000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x6031031926e0
timestamp=18010836271322, VA=0000800100013000-0000800100013020, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603102e13ce0
timestamp=18010836290588, VA=0000800100014000-0000800100014020, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031031974b0
timestamp=18010836305506, VA=0000800100015000-0000800100015010, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103197930
timestamp=18010836316667, VA=0000800100016000-0000800100016010, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103197e70
timestamp=18010839403902, VA=0000800108e00000-0000800118e00000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x60310319a7e0
timestamp=18010839414763, VA=0000800108e00000-0000800118e00000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x6031031af9c0
timestamp=18010839499252, VA=0000800000000000-000080000003c280, binding_type=bind, object_type=VK_OBJECT_TYPE_DESCRIPTOR_POOL, object_handle=0x603102fcf610
timestamp=18010840149146, VA=000080000003d000-0000800000041000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x6031032b5f60
timestamp=18010840461013, VA=0000800100017000-0000800100017020, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031032effa0
timestamp=18010840477705, VA=0000800100018000-0000800100018020, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x60310319b4d0
timestamp=18010843893379, VA=0000800118e00000-0000800128e00000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x603103512210
timestamp=18010843901885, VA=0000800118e00000-0000800128e00000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x603103648060
timestamp=18010843975474, VA=0000800000041000-000080000007d280, binding_type=bind, object_type=VK_OBJECT_TYPE_DESCRIPTOR_POOL, object_handle=0x603102ff43a0
timestamp=18010844740264, VA=000080000007e000-0000800000082000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x6031034f1560
timestamp=18010845161798, VA=00008001029c0000-00008001029c7000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x60310373bce0
timestamp=18010845168591, VA=00008001029c0000-00008001029c6910, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x603103618f50
timestamp=18010845225859, VA=0000800000082000-000080000008a000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x6031034f1560
timestamp=18010845490157, VA=000080000008a000-00008000000ca000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE, object_handle=0x603103294bd0
timestamp=18010845543678, VA=0000800103d00000-0000800103d05000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x60310375e9b0
timestamp=18010845547054, VA=0000800103d00000-0000800103d04b00, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x603103378230
timestamp=18010845560630, VA=00008000000ca000-00008000000da000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x6031034f1560
timestamp=18010845588252, VA=0000800103d40000-0000800103d41000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x60310375e240
timestamp=18010845590556, VA=0000800103d40000-0000800103d40330, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x603103562ad0
timestamp=18010862617058, VA=0000800128e00000-0000800129200000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x6031037674b0
timestamp=18010862629482, VA=0000800128e00000-0000800129200000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x603103766880
timestamp=18010869155955, VA=0000800129200000-0000800129600000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x60310373b7d0
timestamp=18010869163980, VA=0000800129200000-0000800129600000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x6031037c8140
timestamp=18010874705940, VA=0000800129600000-0000800129a00000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x60310376aae0
