timestamp=18010832436789, VA=0000800100000000-0000800100001000, destroyed=0, is_virtual=0
timestamp=18010832469180, VA=0000800100001000-0000800100002000, destroyed=0, is_virtual=0
timestamp=18010832487895, VA=0000800100002000-0000800100002138, destroyed=0, is_virtual=0
timestamp=18010832534112, VA=0000800100003000-0000800100013000, destroyed=0, is_virtual=0
timestamp=18010832559199, VA=0000800100013000-0000800100027000, destroyed=0, is_virtual=0
timestamp=18010832593844, VA=0000800100027000-0000800100027380, destroyed=0, is_virtual=0
timestamp=18010832638088, VA=0000800100013000-0000800100027000, destroyed=1, is_virtual=0
timestamp=18010834140257, VA=0000800100040000-0000800100041000, destroyed=0, is_virtual=0
timestamp=18010834157670, VA=0000800100040000-0000800100041000, destroyed=1, is_virtual=0
timestamp=18010834212173, VA=0000800100200000-00008001014e0000, destroyed=0, is_virtual=0
timestamp=18010834245315, VA=0000800101600000-00008001028e0000, destroyed=0, is_virtual=0
timestamp=18010834270954, VA=0000800102a00000-0000800103ce0000, destroyed=0, is_virtual=0
timestamp=18010835246000, VA=0000800103e00000-00008001050e0000, destroyed=0, is_virtual=0
timestamp=18010835446808, VA=0000800105200000-00008001064e0000, destroyed=0, is_virtual=0
timestamp=18010835576242, VA=0000800106600000-00008001078e0000, destroyed=0, is_virtual=0
timestamp=18010835703943, VA=0000800107a00000-0000800108ce0000, destroyed=0, is_virtual=0
timestamp=18010836268897, VA=0000800100013000-0000800100013020, destroyed=0, is_virtual=0
timestamp=18010836289376, VA=0000800100014000-0000800100014020, destroyed=0, is_virtual=0
timestamp=18010836304244, VA=0000800100015000-0000800100015010, destroyed=0, is_virtual=0
timestamp=18010836315715, VA=0000800100016000-0000800100016010, destroyed=0, is_virtual=0
timestamp=18010839399895, VA=0000800108e00000-0000800118e00000, destroyed=0, is_virtual=0
timestamp=18010839497539, VA=0000800000000000-000080000003c280, destroyed=0, is_virtual=0
timestamp=18010839526072, VA=0000800100028000-000080010003c000, destroyed=0, is_virtual=0
timestamp=18010839540910, VA=000080010003c000-0000800100050000, destroyed=0, is_virtual=0
timestamp=18010839562411, VA=0000800100050000-0000800100064000, destroyed=0, is_virtual=0
timestamp=18010839577098, VA=0000800100064000-0000800100078000, destroyed=0, is_virtual=0
timestamp=18010839592598, VA=0000800100078000-000080010008c000, destroyed=0, is_virtual=0
timestamp=18010839608658, VA=000080010008c000-00008001000a0000, destroyed=0, is_virtual=0
timestamp=18010839629167, VA=00008001000a0000-00008001000b4000, destroyed=0, is_virtual=0
timestamp=18010839645107, VA=00008001000b4000-00008001000c8000, destroyed=0, is_virtual=0
timestamp=18010839663872, VA=00008001000c8000-00008001000dc000, destroyed=0, is_virtual=0
timestamp=18010839681575, VA=00008001000dc000-00008001000f0000, destroyed=0, is_virtual=0
timestamp=18010839696974, VA=00008001000f0000-0000800100104000, destroyed=0, is_virtual=0
timestamp=18010839713195, VA=0000800100104000-0000800100118000, destroyed=0, is_virtual=0
timestamp=18010839770894, VA=0000800100118000-000080010012c000, destroyed=0, is_virtual=0
timestamp=18010839793516, VA=000080010012c000-0000800100140000, destroyed=0, is_virtual=0
timestamp=18010839811280, VA=0000800100140000-0000800100154000, destroyed=0, is_virtual=0
timestamp=18010839826969, VA=0000800100154000-0000800100168000, destroyed=0, is_virtual=0
timestamp=18010839843420, VA=0000800100168000-000080010017c000, destroyed=0, is_virtual=0
timestamp=18010839857777, VA=000080010017c000-0000800100190000, destroyed=0, is_virtual=0
timestamp=18010839875030, VA=0000800100190000-00008001001a4000, destroyed=0, is_virtual=0
timestamp=18010839894096, VA=00008001001a4000-00008001001b8000, destroyed=0, is_virtual=0
timestamp=18010839913532, VA=00008001001b8000-00008001001cc000, destroyed=0, is_virtual=0
timestamp=18010839935203, VA=00008001001cc000-00008001001e0000, destroyed=0, is_virtual=0
timestamp=18010839955060, VA=00008001001e0000-00008001001f4000, destroyed=0, is_virtual=0
timestamp=18010839971131, VA=00008001014e0000-00008001014f4000, destroyed=0, is_virtual=0
timestamp=18010840146812, VA=000080000003d000-0000800000041000, destroyed=0, is_virtual=0
timestamp=18010840459360, VA=0000800100017000-0000800100017020, destroyed=0, is_virtual=0
timestamp=18010840476703, VA=0000800100018000-0000800100018020, destroyed=0, is_virtual=0
timestamp=18010843887037, VA=0000800118e00000-0000800128e00000, destroyed=0, is_virtual=0
timestamp=18010843973971, VA=0000800000041000-000080000007d280, destroyed=0, is_virtual=0
timestamp=18010843998176, VA=00008001014f4000-0000800101508000, destroyed=0, is_virtual=0
timestamp=18010844046998, VA=0000800101508000-000080010151c000, destroyed=0, is_virtual=0
timestamp=18010844079159, VA=000080010151c000-0000800101530000, destroyed=0, is_virtual=0
timestamp=18010844110127, VA=0000800101530000-0000800101544000, destroyed=0, is_virtual=0
timestamp=18010844129283, VA=0000800101544000-0000800101558000, destroyed=0, is_virtual=0
timestamp=18010844150684, VA=0000800101558000-000080010156c000, destroyed=0, is_virtual=0
timestamp=18010844169980, VA=000080010156c000-0000800101580000, destroyed=0, is_virtual=0
timestamp=18010844188896, VA=0000800101580000-0000800101594000, destroyed=0, is_virtual=0
timestamp=18010844207751, VA=0000800101594000-00008001015a8000, destroyed=0, is_virtual=0
timestamp=18010844234532, VA=00008001015a8000-00008001015bc000, destroyed=0, is_virtual=0
timestamp=18010844259859, VA=00008001015bc000-00008001015d0000, destroyed=0, is_virtual=0
timestamp=18010844280168, VA=00008001015d0000-00008001015e4000, destroyed=0, is_virtual=0
timestamp=18010844350320, VA=00008001015e4000-00008001015f8000, destroyed=0, is_virtual=0
timestamp=18010844373453, VA=00008001028e0000-00008001028f4000, destroyed=0, is_virtual=0
timestamp=18010844396897, VA=00008001028f4000-0000800102908000, destroyed=0, is_virtual=0
timestamp=18010844417446, VA=0000800102908000-000080010291c000, destroyed=0, is_virtual=0
timestamp=18010844436001, VA=000080010291c000-0000800102930000, destroyed=0, is_virtual=0
timestamp=18010844459826, VA=0000800102930000-0000800102944000, destroyed=0, is_virtual=0
timestamp=18010844478992, VA=0000800102944000-0000800102958000, destroyed=0, is_virtual=0
timestamp=18010844500252, VA=0000800102958000-000080010296c000, destroyed=0, is_virtual=0
timestamp=18010844526802, VA=000080010296c000-0000800102980000, destroyed=0, is_virtual=0
timestamp=18010844547621, VA=0000800102980000-0000800102994000, destroyed=0, is_virtual=0
timestamp=18010844570845, VA=0000800102994000-00008001029a8000, destroyed=0, is_virtual=0
timestamp=18010844592406, VA=00008001029a8000-00008001029bc000, destroyed=0, is_virtual=0
timestamp=18010844738180, VA=000080000007e000-0000800000082000, destroyed=0, is_virtual=0
timestamp=18010845158863, VA=00008001029c0000-00008001029c7000, destroyed=0, is_virtual=0
timestamp=18010845224476, VA=0000800000082000-000080000008a000, destroyed=0, is_virtual=0
timestamp=18010845488013, VA=000080000008a000-00008000000ca000, destroyed=0, is_virtual=0
timestamp=18010845542105, VA=0000800103d00000-0000800103d05000, destroyed=0, is_virtual=0
timestamp=18010845559598, VA=00008000000ca000-00008000000da000, destroyed=0, is_virtual=0
timestamp=18010845586899, VA=0000800103d40000-0000800103d41000, destroyed=0, is_virtual=0
timestamp=18010862609354, VA=0000800128e00000-0000800129200000, destroyed=0, is_virtual=0
timestamp=18010869150295, VA=0000800129200000-0000800129600000, destroyed=0, is_virtual=0
timestamp=18010874701141, VA=0000800129600000-0000800129a00000, destroyed=0, is_virtual=0
timestamp=18010876624013, VA=0000800129a00000-0000800129e00000, destroyed=0, is_virtual=0
timestamp=18010877181052, VA=0000800100019000-00008001000190f0, destroyed=0, is_virtual=0
timestamp=18010877217451, VA=000080010001a000-000080010001a0f0, destroyed=0, is_virtual=0
timestamp=18010877292933, VA=0000800129e00000-0000800131e80000, destroyed=0, is_virtual=0
timestamp=18010877340693, VA=0000800132000000-0000800133000000, destroyed=0, is_virtual=0
timestamp=18010893573019, VA=000080010001b000-000080010001b008, destroyed=0, is_virtual=0
timestamp=18010893754231, VA=0000800000200000-0000800000620000, destroyed=0, is_virtual=0
timestamp=18010893770541, VA=000080010001c000-000080010001c130, destroyed=0, is_virtual=0
timestamp=18010893801960, VA=00008001029c7000-00008001029db000, destroyed=0, is_virtual=0
timestamp=18010893826667, VA=00008001029db000-00008001029ef000, destroyed=0, is_virtual=0
timestamp=18010893844781, VA=0000800103ce0000-0000800103cf4000, destroyed=0, is_virtual=0
timestamp=18010905708979, VA=00008000000da000-00008000000de000, destroyed=0, is_virtual=0
timestamp=18010905772529, VA=0000800100019000-00008001000190f0, destroyed=1, is_virtual=0
timestamp=18010905807896, VA=000080010001a000-000080010001a0f0, destroyed=1, is_virtual=0
timestamp=18010905837622, VA=0000800100019000-00008001000190f0, destroyed=0, is_virtual=0
